Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
15,ELEVATE RECT POLY ASSY,na,stone white,White interior,na,stainless perimeter bar,recangular special cut 2W3H,Tempered Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
16,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,right hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
17,ELEVATE CASEMENT ASSEMBLY,CN 2943,stone white,white interior,left hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
18,ELEVATE CASEMENT ASSEMBLY,CN 2943,stone white ,White interior,right hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
19,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,left hand/right hand ,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
21,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,left hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
22,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,left hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
AZJ03449,5151AO,,,,,,,,,
1,ELEVATE CASEMENT ASSEMBLY,CN 2943,stone white,White interior,left hand/right hand ,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
AZJ03851,5912,,,,,,,,,
